original_code	code	name	island_code	region_area_id	town	original_name
TB132807924	TB112807917	Puente de Vallecas			m_28_079_6	Madrid - Madrid - Puente de Vallecas
TB132807918	TB112807913	Puerta del Ángel			m_28_079_6	Madrid - Madrid - Puerta del Ángel
TB132807907	TB112807903	Retiro			m_28_079_6	Madrid - Madrid - Retiro
TB132807908	TB112807904	Salamanca – Guindalera			m_28_079_6	Madrid - Madrid - Salamanca – Guindalera
TB132807931	TB112807923	San Blas - Canillejas			m_28_079_6	Madrid - Madrid - San Blas - Canillejas
TB132807911	TB112807906	Tetuán			m_28_079_6	Madrid - Madrid - Tetuán
TB132807923	TB112807916	Usera			m_28_079_6	Madrid - Madrid - Usera
TB132807925	TB112807918	Vicálvaro			m_28_079_6	Madrid - Madrid - Vicálvaro
TB132807920	TB112807915	Villa de Vallecas			m_28_079_6	Madrid - Madrid - Villa de Vallecas
TB132807919	TB112807914	Villaverde			m_28_079_6	Madrid - Madrid - Villaverde
TM132808001	TM112808001	Majadahonda			m_28_080_0	Madrid - Majadahonda - Majadahonda
TM132808201	TM112808201	Manzanares El Real			m_28_082_2	Madrid - Manzanares El Real - Manzanares El Real
TM132808301	TM112808301	Meco			m_28_083_8	Madrid - Meco - Meco
TM132808601	TM112808601	El Molar			m_28_086_9	Madrid - Molar, El - El Molar
TM132808701	TM112808701	Los Molinos			m_28_087_5	Madrid - Molinos, Los - Los Molinos
TM132808901	TM112808901	Moraleja de Enmedio			m_28_089_4	Madrid - Moraleja de Enmedio - Moraleja de Enmedio
TM132809001	TM112809001	Moralzarzal			m_28_090_8	Madrid - Moralzarzal - Moralzarzal
TB132809204	TB112809204	Coímbra-Guadarrama			m_28_092_0	Madrid - Móstoles - Coímbra-Guadarrama
TB132809201	TB112809201	Móstoles Centro			m_28_092_0	Madrid - Móstoles - Móstoles Centro
TB132809202	TB112809202	Móstoles Sur-Este			m_28_092_0	Madrid - Móstoles - Móstoles Sur-Este
TB132809203	TB112809203	Móstoles Sur-Oeste			m_28_092_0	Madrid - Móstoles - Móstoles Sur-Oeste
TB132809206	TB112809206	Norte-Universidad			m_28_092_0	Madrid - Móstoles - Norte-Universidad
TB132809205	TB112809205	PAU-4			m_28_092_0	Madrid - Móstoles - PAU-4
TM132809501	TM112809501	Navalagamella			m_28_095_4	Madrid - Navalagamella - Navalagamella
TM132809601	TM112809601	Navalcarnero			m_28_096_7	Madrid - Navalcarnero - Navalcarnero
TC132810001	TB112810001	Senda de Valmores			m_28_100_6	Madrid - Nuevo Baztán - Senda de Valmores
TM132810401	TM112810401	Paracuellos de Jarama			m_28_104_9	Madrid - Paracuellos de Jarama - Paracuellos de Jarama
TM132810601	TM112810601	Parla			m_28_106_5	Madrid - Parla - Parla
TM132810801	TM112810801	Pedrezuela			m_28_108_7	Madrid - Pedrezuela - Pedrezuela
TM132811301	TM112811301	Pinto			m_28_113_2	Madrid - Pinto - Pinto
TM132811501	TM112811501	Pozuelo de Alarcón			m_28_115_0	Madrid - Pozuelo de Alarcón - Pozuelo de Alarcón
TM132812301	TM112812301	Rivas			m_28_123_0	Madrid - Rivas-Vaciamadrid - Rivas
TM132812901	TM112812901	San Agustín de Guadalix			m_28_129_6	Madrid - San Agustín del Guadalix - San Agustín de Guadalix
TM132813001	TM112813001	San Fernando de Henares			m_28_130_0	Madrid - San Fernando de Henares - San Fernando de Henares
TB132813101	TM112813101	San Lorenzo del Escorial			m_28_131_7	Madrid - San Lorenzo de El Escorial - San Lorenzo del Escorial
TM132813201	TM112813201	San Martín de la Vega			m_28_132_2	Madrid - San Martín de la Vega - San Martín de la Vega
TM132813301	TM112813301	San Martin de Valdeiglesias			m_28_133_8	Madrid - San Martín de Valdeiglesias - San Martin de Valdeiglesias
TM132813401	TM112813401	San Sebastian de los Reyes			m_28_134_3	Madrid - San Sebastián de los Reyes - San Sebastian de los Reyes
TM132813501	TM112813501	Santa Maria de la Alameda			m_28_135_6	Madrid - Santa María de la Alameda - Santa Maria de la Alameda
TM132814101	TM112814101	Sevilla la Nueva			m_28_141_5	Madrid - Sevilla la Nueva - Sevilla la Nueva
TM132814401	TM112814401	Soto del Real			m_28_144_1	Madrid - Soto del Real - Soto del Real
TM132814501	TM112814501	Talamanca de Jarama			m_28_145_4	Madrid - Talamanca de Jarama - Talamanca de Jarama
TM132814801	TM112814801	Torrejon de Ardoz			m_28_148_9	Madrid - Torrejón de Ardoz - Torrejon de Ardoz
TM132894901	TM112814901	Torrejon de la Calzada			m_28_149_2	Madrid - Torrejón de la Calzada - Torrejon de la Calzada
TB132890301	TM112890301	Tres Cantos			m_28_903_6	Madrid - Tres Cantos - Tres Cantos
TM132816001	TM112816001	Valdemorillo			m_28_160_3	Madrid - Valdemorillo - Valdemorillo
TM132816101	TM112816101	Valdemoro			m_28_161_0	Madrid - Valdemoro - Valdemoro
TM132816401	TM112816401	Valdetorres del Jarama			m_28_164_6	Madrid - Valdetorres de Jarama - Valdetorres del Jarama
TM132816701	TM114716701	Velilla			m_28_167_8	Madrid - Velilla de San Antonio - Velilla
TM132817001	TM112817001	Villaconejos			m_28_170_1	Madrid - Villaconejos - Villaconejos
TM132817201	TM112817201	Villalbilla			m_28_172_3	Madrid - Villalbilla - Villalbilla
TM132817601	TM112817601	Villanueva de la Cañada			m_28_176_0	Madrid - Villanueva de la Cañada - Villanueva de la Cañada
TM132817801	TM112817801	Villanueva de Perales			m_28_178_2	Madrid - Villanueva de Perales - Villanueva de Perales
TM132817701	TM112817701	Villanueva del Pardillo			m_28_177_6	Madrid - Villanueva del Pardillo - Villanueva del Pardillo
TM132818001	TM112818001	Villarejo de Salvanés			m_28_180_9	Madrid - Villarejo de Salvanés - Villarejo de Salvanés
TM132818101	TM112818101	Villaviciosa de Odón			m_28_181_6	Madrid - Villaviciosa de Odón - Villaviciosa de Odón
TM012900701	TM012900701	Podemos Alhaurín de la Torre			m_29_007_5	Málaga - Alhaurín de la Torre - Podemos Alhaurín de la Torre
TM012900801	TM012900801	Círculo Podemos Alhaurín el Grande			m_29_008_1	Málaga - Alhaurín el Grande - Círculo Podemos Alhaurín el Grande
TM012902001	TM012902001	Podemos Arriate en común			m_29_020_6	Málaga - Arriate - Podemos Arriate en común
TM012902501	TM012902501	Podemos Benalmádena			m_29_025_2	Málaga - Benalmádena - Podemos Benalmádena
TM012906704	TM012903801	Podemos Cártama			m_29_038_5	Málaga - Cártama - Podemos Cártama
TM012905102	TM012905101	Círculo Podemos Estepona			m_29_051_6	Málaga - Estepona - Círculo Podemos Estepona
TM012905401	TM012905401	Círculo Podemos Fuengirola			m_29_054_2	Málaga - Fuengirola - Círculo Podemos Fuengirola
TB012906709	TB012906709	Círculo Distrito 10			m_29_067_2	Málaga - Málaga - Círculo Distrito 10
TB012906708	TB012906708	Círculo Distrito 4-Bailén Miraflores			m_29_067_2	Málaga - Málaga - Círculo Distrito 4-Bailén Miraflores
TB012906707	TB012906707	Círculo Distrito 5			m_29_067_2	Málaga - Málaga - Círculo Distrito 5
TB012906701	TB012906701	Círculo Distrito 6 Cruz de Humilladero - Carranque			m_29_067_2	Málaga - Málaga - Círculo Distrito 6 Cruz de Humilladero - Carranque
TB012906705	TB012906705	Círculo Distrito 7- Avenida Velázquez			m_29_067_2	Málaga - Málaga - Círculo Distrito 7- Avenida Velázquez
TB012906710	TB012906710	Círculo Distrito 8 - Churriana			m_29_067_2	Málaga - Málaga - Círculo Distrito 8 - Churriana
TB012906706	TB012906706	Círculo Distrito 9 - Campanillas			m_29_067_2	Málaga - Málaga - Círculo Distrito 9 - Campanillas
TB012906703	TB012906703	Círculo Podemos Distrito 1-Centro			m_29_067_2	Málaga - Málaga - Círculo Podemos Distrito 1-Centro
TB012906702	TB012906702	Círculo Podemos Distrito 3-Ciudad Jardín			m_29_067_2	Málaga - Málaga - Círculo Podemos Distrito 3-Ciudad Jardín
